=== Simulacion de particulas ===

tiempo,x0,y0,x1,y1,x2,y2,x3,y3
21.35,186.352,36.7295,-1,-1,304.786,337.286,-1,-1
21.4,185.267,34.5595,-1,-1,303.857,335.214,-1,-1
21.45,184.182,32.3895,-1,-1,302.929,333.143,-1,-1
21.5,183.098,30.2195,-1,-1,302,331.071,-1,-1
21.55,182.013,28.0495,-1,-1,301.071,329,-1,-1
21.6,180.928,25.8795,-1,-1,300.143,326.929,-1,-1
21.65,179.843,23.7095,-1,-1,299.214,324.857,-1,-1
21.7,178.758,21.5395,-1,-1,298.286,322.786,-1,-1
21.75,177.674,19.3695,-1,-1,297.357,320.714,-1,-1
21.8,176.589,17.1995,-1,-1,296.429,318.643,-1,-1
21.85,175.504,15.6205,-1,-1,295.5,316.571,-1,-1
21.9,174.419,17.7905,-1,-1,294.571,314.5,-1,-1
21.95,173.334,19.9605,-1,-1,293.643,312.429,-1,-1
22,172.25,22.1305,-1,-1,292.714,310.357,-1,-1
22.05,171.165,24.3005,-1,-1,291.786,308.286,-1,-1
22.1,170.08,26.4705,-1,-1,290.857,306.214,-1,-1
22.15,168.995,28.6405,-1,-1,289.929,304.143,-1,-1
22.2,167.91,30.8105,-1,-1,289,302.071,-1,-1
22.25,166.826,32.9805,-1,-1,288.071,300,-1,-1
22.3,165.741,35.1505,-1,-1,287.143,297.929,-1,-1
22.35,164.656,37.3205,-1,-1,286.214,295.857,-1,-1
22.4,163.571,39.4905,-1,-1,285.286,293.786,-1,-1
22.45,162.486,41.6605,-1,-1,284.357,291.714,-1,-1
22.5,161.402,43.8305,-1,-1,283.429,289.643,-1,-1
22.55,160.317,46.0005,-1,-1,282.5,287.571,-1,-1
22.6,159.232,48.1705,-1,-1,281.571,285.5,-1,-1
22.65,158.147,50.3405,-1,-1,280.643,283.429,-1,-1
22.7,157.062,52.5105,-1,-1,279.714,281.357,-1,-1
22.75,155.978,54.6805,-1,-1,278.786,279.286,-1,-1
22.8,154.893,56.8505,-1,-1,277.857,277.214,-1,-1
22.85,153.808,59.0205,-1,-1,276.929,275.143,-1,-1
22.9,152.723,61.1905,-1,-1,276,273.071,-1,-1
22.95,151.638,63.3605,-1,-1,275.071,271,-1,-1
23,150.554,65.5305,-1,-1,274.143,268.929,-1,-1
23.05,149.469,67.7005,-1,-1,273.214,266.857,-1,-1
23.1,148.384,69.8705,-1,-1,272.286,264.786,-1,-1
23.15,147.299,72.0405,-1,-1,271.357,262.714,-1,-1
23.2,146.214,74.2105,-1,-1,270.429,260.643,-1,-1
23.25,145.13,76.3805,-1,-1,269.5,258.571,-1,-1
23.3,144.045,78.5505,-1,-1,268.571,256.5,-1,-1
23.35,142.96,80.7205,-1,-1,267.643,254.429,-1,-1
23.4,141.875,82.8905,-1,-1,266.714,252.357,-1,-1
23.45,140.79,85.0605,-1,-1,265.786,250.286,-1,-1
23.5,139.706,87.2305,-1,-1,264.857,248.214,-1,-1
